labels,images
datasets\data\train\labels\201807011232_042.txt,datasets\data\train\images\201807011232_042.png
datasets\data\train\labels\201806301539_057.txt,datasets\data\train\images\201806301539_057.png
datasets\data\train\labels\201806261434_016.txt,datasets\data\train\images\201806261434_016.png
datasets\data\train\labels\201806281113_014.txt,datasets\data\train\images\201806281113_014.png
datasets\data\train\labels\201807061018_033.txt,datasets\data\train\images\201807061018_033.png
datasets\data\train\labels\201807051231_046.txt,datasets\data\train\images\201807051231_046.png
datasets\data\train\labels\201806301308_011.txt,datasets\data\train\images\201806301308_011.png
datasets\data\train\labels\201807071347_014.txt,datasets\data\train\images\201807071347_014.png
datasets\data\train\labels\201807011703_044.txt,datasets\data\train\images\201807011703_044.png
datasets\data\train\labels\201807021347_040.txt,datasets\data\train\images\201807021347_040.png
datasets\data\train\labels\201807081144_007.txt,datasets\data\train\images\201807081144_007.png
datasets\data\train\labels\201806271327_027.txt,datasets\data\train\images\201806271327_027.png
datasets\data\train\labels\201807011303_005.txt,datasets\data\train\images\201807011303_005.png
datasets\data\train\labels\201806271257_047.txt,datasets\data\train\images\201806271257_047.png
datasets\data\train\labels\201807081545_038.txt,datasets\data\train\images\201807081545_038.png
datasets\data\train\labels\201807021045_029.txt,datasets\data\train\images\201807021045_029.png
datasets\data\train\labels\201807081545_024.txt,datasets\data\train\images\201807081545_024.png
datasets\data\train\labels\201807051431_032.txt,datasets\data\train\images\201807051431_032.png
datasets\data\train\labels\201807061118_032.txt,datasets\data\train\images\201807061118_032.png
datasets\data\train\labels\201807081445_002.txt,datasets\data\train\images\201807081445_002.png
datasets\data\train\labels\201806291621_048.txt,datasets\data\train\images\201806291621_048.png
datasets\data\train\labels\201807061249_037.txt,datasets\data\train\images\201807061249_037.png
datasets\data\train\labels\201807071517_022.txt,datasets\data\train\images\201807071517_022.png
datasets\data\train\labels\201806291243_002.txt,datasets\data\train\images\201806291243_002.png
datasets\data\train\labels\201807081515_052.txt,datasets\data\train\images\201807081515_052.png
datasets\data\train\labels\201807041618_055.txt,datasets\data\train\images\201807041618_055.png
datasets\data\train\labels\201806271026_057.txt,datasets\data\train\images\201806271026_057.png
datasets\data\train\labels\201807061450_049.txt,datasets\data\train\images\201807061450_049.png
datasets\data\train\labels\201807081114_040.txt,datasets\data\train\images\201807081114_040.png
datasets\data\train\labels\201806271026_062.txt,datasets\data\train\images\201806271026_062.png
datasets\data\train\labels\201806281429_010.txt,datasets\data\train\images\201806281429_010.png
datasets\data\train\labels\201807051640_035.txt,datasets\data\train\images\201807051640_035.png
datasets\data\train\labels\201807021015_015.txt,datasets\data\train\images\201807021015_015.png
datasets\data\train\labels\201807011002_008.txt,datasets\data\train\images\201807011002_008.png
datasets\data\train\labels\201807071145_060.txt,datasets\data\train\images\201807071145_060.png
datasets\data\train\labels\201807041314_061.txt,datasets\data\train\images\201807041314_061.png
datasets\data\train\labels\201806301238_034.txt,datasets\data\train\images\201806301238_034.png
datasets\data\train\labels\201807071246_031.txt,datasets\data\train\images\201807071246_031.png
datasets\data\train\labels\201807011232_045.txt,datasets\data\train\images\201807011232_045.png
datasets\data\train\labels\201806291521_052.txt,datasets\data\train\images\201806291521_052.png
datasets\data\train\labels\201806281022_020.txt,datasets\data\train\images\201806281022_020.png
datasets\data\train\labels\201806301112_009.txt,datasets\data\train\images\201806301112_009.png
datasets\data\train\labels\201807011232_059.txt,datasets\data\train\images\201807011232_059.png
datasets\data\train\labels\201806260941_024.txt,datasets\data\train\images\201806260941_024.png
datasets\data\train\labels\201806301112_063.txt,datasets\data\train\images\201806301112_063.png
datasets\data\train\labels\201806271357_057.txt,datasets\data\train\images\201806271357_057.png
datasets\data\train\labels\201807081044_044.txt,datasets\data\train\images\201807081044_044.png
datasets\data\train\labels\201806301609_037.txt,datasets\data\train\images\201806301609_037.png
datasets\data\train\labels\201806261404_033.txt,datasets\data\train\images\201806261404_033.png
datasets\data\train\labels\201807071115_054.txt,datasets\data\train\images\201807071115_054.png
datasets\data\train\labels\201807051131_019.txt,datasets\data\train\images\201807051131_019.png
datasets\data\train\labels\201807011403_067.txt,datasets\data\train\images\201807011403_067.png
datasets\data\train\labels\201807051201_014.txt,datasets\data\train\images\201807051201_014.png
datasets\data\train\labels\201807071717_034.txt,datasets\data\train\images\201807071717_034.png
datasets\data\train\labels\201807071417_041.txt,datasets\data\train\images\201807071417_041.png
datasets\data\train\labels\201807051013_009.txt,datasets\data\train\images\201807051013_009.png
datasets\data\train\labels\201807051710_042.txt,datasets\data\train\images\201807051710_042.png
datasets\data\train\labels\201806281459_050.txt,datasets\data\train\images\201806281459_050.png
datasets\data\train\labels\201807071145_027.txt,datasets\data\train\images\201807071145_027.png
datasets\data\train\labels\201807061520_007.txt,datasets\data\train\images\201807061520_007.png
datasets\data\train\labels\201807061650_010.txt,datasets\data\train\images\201807061650_010.png
datasets\data\train\labels\201807011002_048.txt,datasets\data\train\images\201807011002_048.png
datasets\data\train\labels\201807021517_006.txt,datasets\data\train\images\201807021517_006.png
datasets\data\train\labels\201807081044_017.txt,datasets\data\train\images\201807081044_017.png
datasets\data\train\labels\201807071547_008.txt,datasets\data\train\images\201807071547_008.png
datasets\data\train\labels\201807021246_023.txt,datasets\data\train\images\201807021246_023.png
datasets\data\train\labels\201806261704_033.txt,datasets\data\train\images\201806261704_033.png
datasets\data\train\labels\201806271557_038.txt,datasets\data\train\images\201806271557_038.png
datasets\data\train\labels\201807021045_013.txt,datasets\data\train\images\201807021045_013.png
datasets\data\train\labels\201806291059_015.txt,datasets\data\train\images\201806291059_015.png
datasets\data\train\labels\201806261734_005.txt,datasets\data\train\images\201806261734_005.png
datasets\data\train\labels\201806260901_011.txt,datasets\data\train\images\201806260901_011.png
datasets\data\train\labels\201807031122_033.txt,datasets\data\train\images\201807031122_033.png
datasets\data\train\labels\201806271126_013.txt,datasets\data\train\images\201806271126_013.png
datasets\data\train\labels\201806281529_019.txt,datasets\data\train\images\201806281529_019.png
datasets\data\train\labels\201806260941_012.txt,datasets\data\train\images\201806260941_012.png
datasets\data\train\labels\201807021246_019.txt,datasets\data\train\images\201807021246_019.png
datasets\data\train\labels\201806271427_016.txt,datasets\data\train\images\201806271427_016.png
datasets\data\train\labels\201806291421_060.txt,datasets\data\train\images\201806291421_060.png
datasets\data\train\labels\201806261434_028.txt,datasets\data\train\images\201806261434_028.png
datasets\data\train\labels\201806301138_004.txt,datasets\data\train\images\201806301138_004.png
datasets\data\train\labels\201807021517_030.txt,datasets\data\train\images\201807021517_030.png
datasets\data\train\labels\201807011703_030.txt,datasets\data\train\images\201807011703_030.png
datasets\data\train\labels\201806301138_049.txt,datasets\data\train\images\201806301138_049.png
datasets\data\train\labels\201806261504_032.txt,datasets\data\train\images\201806261504_032.png
datasets\data\train\labels\201807011002_046.txt,datasets\data\train\images\201807011002_046.png
datasets\data\train\labels\201806291320_032.txt,datasets\data\train\images\201806291320_032.png
datasets\data\train\labels\201807041314_048.txt,datasets\data\train\images\201807041314_048.png
datasets\data\train\labels\201807011333_017.txt,datasets\data\train\images\201807011333_017.png
datasets\data\train\labels\201807061650_023.txt,datasets\data\train\images\201807061650_023.png
datasets\data\train\labels\201806301709_035.txt,datasets\data\train\images\201806301709_035.png
datasets\data\train\labels\201807071316_040.txt,datasets\data\train\images\201807071316_040.png
datasets\data\train\labels\201807061018_010.txt,datasets\data\train\images\201807061018_010.png
datasets\data\train\labels\201807051100_021.txt,datasets\data\train\images\201807051100_021.png
datasets\data\train\labels\201806301509_005.txt,datasets\data\train\images\201806301509_005.png
datasets\data\train\labels\201806301439_036.txt,datasets\data\train\images\201806301439_036.png
datasets\data\train\labels\201807081545_027.txt,datasets\data\train\images\201807081545_027.png
datasets\data\train\labels\201807041418_035.txt,datasets\data\train\images\201807041418_035.png
datasets\data\train\labels\201806291551_018.txt,datasets\data\train\images\201806291551_018.png
datasets\data\train\labels\201807071347_008.txt,datasets\data\train\images\201807071347_008.png
datasets\data\train\labels\201806301308_033.txt,datasets\data\train\images\201806301308_033.png
datasets\data\train\labels\201806281559_017.txt,datasets\data\train\images\201806281559_017.png
datasets\data\train\labels\201807061118_041.txt,datasets\data\train\images\201807061118_041.png
datasets\data\train\labels\201806291421_015.txt,datasets\data\train\images\201806291421_015.png
datasets\data\train\labels\201806261534_034.txt,datasets\data\train\images\201806261534_034.png
datasets\data\train\labels\201807011703_013.txt,datasets\data\train\images\201807011703_013.png
datasets\data\train\labels\201806291551_016.txt,datasets\data\train\images\201806291551_016.png
datasets\data\train\labels\201807061118_024.txt,datasets\data\train\images\201807061118_024.png
datasets\data\train\labels\201807071447_005.txt,datasets\data\train\images\201807071447_005.png
datasets\data\train\labels\201807021146_010.txt,datasets\data\train\images\201807021146_010.png
datasets\data\train\labels\201807031122_014.txt,datasets\data\train\images\201807031122_014.png
datasets\data\train\labels\201807011002_007.txt,datasets\data\train\images\201807011002_007.png
datasets\data\train\labels\201807081415_021.txt,datasets\data\train\images\201807081415_021.png
datasets\data\train\labels\201807071015_012.txt,datasets\data\train\images\201807071015_012.png
datasets\data\train\labels\201807081114_002.txt,datasets\data\train\images\201807081114_002.png
datasets\data\train\labels\201806271227_037.txt,datasets\data\train\images\201806271227_037.png
datasets\data\train\labels\201806271527_039.txt,datasets\data\train\images\201806271527_039.png
datasets\data\train\labels\201806271357_044.txt,datasets\data\train\images\201806271357_044.png
datasets\data\train\labels\201807011132_036.txt,datasets\data\train\images\201807011132_036.png
datasets\data\train\labels\201806271257_028.txt,datasets\data\train\images\201806271257_028.png
datasets\data\train\labels\201806301509_054.txt,datasets\data\train\images\201806301509_054.png
datasets\data\train\labels\201807061118_005.txt,datasets\data\train\images\201807061118_005.png
datasets\data\train\labels\201806281113_010.txt,datasets\data\train\images\201806281113_010.png
datasets\data\train\labels\201807081214_052.txt,datasets\data\train\images\201807081214_052.png
datasets\data\train\labels\201806291551_034.txt,datasets\data\train\images\201806291551_034.png
datasets\data\train\labels\201807051030_008.txt,datasets\data\train\images\201807051030_008.png
datasets\data\train\labels\201807081415_038.txt,datasets\data\train\images\201807081415_038.png
datasets\data\train\labels\201807071517_070.txt,datasets\data\train\images\201807071517_070.png
datasets\data\train\labels\201806261334_022.txt,datasets\data\train\images\201806261334_022.png
datasets\data\train\labels\201807061550_006.txt,datasets\data\train\images\201807061550_006.png
datasets\data\train\labels\201807021316_025.txt,datasets\data\train\images\201807021316_025.png
datasets\data\train\labels\201807051131_026.txt,datasets\data\train\images\201807051131_026.png
datasets\data\train\labels\201806291421_010.txt,datasets\data\train\images\201806291421_010.png
datasets\data\train\labels\201806301138_025.txt,datasets\data\train\images\201806301138_025.png
datasets\data\train\labels\201807051013_025.txt,datasets\data\train\images\201807051013_025.png
datasets\data\train\labels\201806281422_010.txt,datasets\data\train\images\201806281422_010.png
datasets\data\train\labels\201807041618_025.txt,datasets\data\train\images\201807041618_025.png
datasets\data\train\labels\201807011503_030.txt,datasets\data\train\images\201807011503_030.png
datasets\data\train\labels\201807021246_026.txt,datasets\data\train\images\201807021246_026.png
datasets\data\train\labels\201807011303_013.txt,datasets\data\train\images\201807011303_013.png
datasets\data\train\labels\201807071145_051.txt,datasets\data\train\images\201807071145_051.png
datasets\data\train\labels\201806271527_019.txt,datasets\data\train\images\201806271527_019.png
datasets\data\train\labels\201807071145_025.txt,datasets\data\train\images\201807071145_025.png
datasets\data\train\labels\201807081445_035.txt,datasets\data\train\images\201807081445_035.png
datasets\data\train\labels\201807041143_032.txt,datasets\data\train\images\201807041143_032.png
datasets\data\train\labels\201807081144_016.txt,datasets\data\train\images\201807081144_016.png
datasets\data\train\labels\201807021316_014.txt,datasets\data\train\images\201807021316_014.png
datasets\data\train\labels\201807081415_020.txt,datasets\data\train\images\201807081415_020.png
datasets\data\train\labels\201807061650_009.txt,datasets\data\train\images\201807061650_009.png
datasets\data\train\labels\201806260831_016.txt,datasets\data\train\images\201806260831_016.png
datasets\data\train\labels\201806301238_052.txt,datasets\data\train\images\201806301238_052.png
datasets\data\train\labels\201807051301_060.txt,datasets\data\train\images\201807051301_060.png
datasets\data\train\labels\201807051301_057.txt,datasets\data\train\images\201807051301_057.png
datasets\data\train\labels\201806261434_004.txt,datasets\data\train\images\201806261434_004.png
datasets\data\train\labels\201807021146_048.txt,datasets\data\train\images\201807021146_048.png
datasets\data\train\labels\201806271457_064.txt,datasets\data\train\images\201806271457_064.png
datasets\data\train\labels\201806260821_010.txt,datasets\data\train\images\201806260821_010.png
datasets\data\train\labels\201807011433_037.txt,datasets\data\train\images\201807011433_037.png
datasets\data\train\labels\201807041448_015.txt,datasets\data\train\images\201807041448_015.png
datasets\data\train\labels\201807021015_022.txt,datasets\data\train\images\201807021015_022.png
datasets\data\train\labels\201806271427_041.txt,datasets\data\train\images\201806271427_041.png
datasets\data\train\labels\201807081515_077.txt,datasets\data\train\images\201807081515_077.png
datasets\data\train\labels\201807061450_063.txt,datasets\data\train\images\201807061450_063.png
datasets\data\train\labels\201807031152_033.txt,datasets\data\train\images\201807031152_033.png
datasets\data\train\labels\201807051231_029.txt,datasets\data\train\images\201807051231_029.png
datasets\data\train\labels\201807041518_054.txt,datasets\data\train\images\201807041518_054.png
datasets\data\train\labels\201806281529_035.txt,datasets\data\train\images\201806281529_035.png
datasets\data\train\labels\201806291243_001.txt,datasets\data\train\images\201806291243_001.png
datasets\data\train\labels\201807061148_010.txt,datasets\data\train\images\201807061148_010.png
datasets\data\train\labels\201807051100_069.txt,datasets\data\train\images\201807051100_069.png
datasets\data\train\labels\201807071316_049.txt,datasets\data\train\images\201807071316_049.png
datasets\data\train\labels\201807061249_024.txt,datasets\data\train\images\201807061249_024.png
datasets\data\train\labels\201807051030_016.txt,datasets\data\train\images\201807051030_016.png
datasets\data\train\labels\201807041518_049.txt,datasets\data\train\images\201807041518_049.png
datasets\data\train\labels\201806301609_004.txt,datasets\data\train\images\201806301609_004.png
datasets\data\train\labels\201807041244_027.txt,datasets\data\train\images\201807041244_027.png
datasets\data\train\labels\201806271527_058.txt,datasets\data\train\images\201806271527_058.png
datasets\data\train\labels\201807041244_008.txt,datasets\data\train\images\201807041244_008.png
datasets\data\train\labels\201806261504_044.txt,datasets\data\train\images\201806261504_044.png
datasets\data\train\labels\201807061018_005.txt,datasets\data\train\images\201807061018_005.png
datasets\data\train\labels\201807041113_043.txt,datasets\data\train\images\201807041113_043.png
datasets\data\train\labels\201806281143_004.txt,datasets\data\train\images\201806281143_004.png
datasets\data\train\labels\201807011303_037.txt,datasets\data\train\images\201807011303_037.png
datasets\data\train\labels\201807021116_023.txt,datasets\data\train\images\201807021116_023.png
datasets\data\train\labels\201806281429_032.txt,datasets\data\train\images\201806281429_032.png
datasets\data\train\labels\201807071447_011.txt,datasets\data\train\images\201807071447_011.png
datasets\data\train\labels\201807051231_072.txt,datasets\data\train\images\201807051231_072.png
datasets\data\train\labels\201806261434_011.txt,datasets\data\train\images\201806261434_011.png
datasets\data\train\labels\201806301208_053.txt,datasets\data\train\images\201806301208_053.png
datasets\data\train\labels\201806291143_019.txt,datasets\data\train\images\201806291143_019.png
datasets\data\train\labels\201807051030_014.txt,datasets\data\train\images\201807051030_014.png
datasets\data\train\labels\201806291320_011.txt,datasets\data\train\images\201806291320_011.png
datasets\data\train\labels\201807021015_050.txt,datasets\data\train\images\201807021015_050.png
datasets\data\train\labels\201806291451_012.txt,datasets\data\train\images\201806291451_012.png
datasets\data\train\labels\201806291320_039.txt,datasets\data\train\images\201806291320_039.png
datasets\data\train\labels\201806301409_013.txt,datasets\data\train\images\201806301409_013.png
datasets\data\train\labels\201806281459_032.txt,datasets\data\train\images\201806281459_032.png
datasets\data\train\labels\201807021015_004.txt,datasets\data\train\images\201807021015_004.png
datasets\data\train\labels\201806281629_015.txt,datasets\data\train\images\201806281629_015.png
datasets\data\train\labels\201807081515_060.txt,datasets\data\train\images\201807081515_060.png
datasets\data\train\labels\201806301138_026.txt,datasets\data\train\images\201806301138_026.png
datasets\data\train\labels\201806281659_054.txt,datasets\data\train\images\201806281659_054.png
datasets\data\train\labels\201807041518_067.txt,datasets\data\train\images\201807041518_067.png
datasets\data\train\labels\201807041143_042.txt,datasets\data\train\images\201807041143_042.png
datasets\data\train\labels\201807051201_017.txt,datasets\data\train\images\201807051201_017.png
datasets\data\train\labels\201806260801_005.txt,datasets\data\train\images\201806260801_005.png
datasets\data\train\labels\201807071617_036.txt,datasets\data\train\images\201807071617_036.png
datasets\data\train\labels\201807081445_022.txt,datasets\data\train\images\201807081445_022.png
datasets\data\train\labels\201806261434_000.txt,datasets\data\train\images\201806261434_000.png
datasets\data\train\labels\201807071547_018.txt,datasets\data\train\images\201807071547_018.png
datasets\data\train\labels\201807011433_023.txt,datasets\data\train\images\201807011433_023.png
datasets\data\train\labels\201806271157_009.txt,datasets\data\train\images\201806271157_009.png
datasets\data\train\labels\201806291521_062.txt,datasets\data\train\images\201806291521_062.png
datasets\data\train\labels\201806271427_010.txt,datasets\data\train\images\201806271427_010.png
datasets\data\train\labels\201807011703_062.txt,datasets\data\train\images\201807011703_062.png
datasets\data\train\labels\201806271327_000.txt,datasets\data\train\images\201806271327_000.png
datasets\data\train\labels\201807011102_032.txt,datasets\data\train\images\201807011102_032.png
datasets\data\train\labels\201807061118_029.txt,datasets\data\train\images\201807061118_029.png
datasets\data\train\labels\201807041016_017.txt,datasets\data\train\images\201807041016_017.png
datasets\data\train\labels\201807071145_039.txt,datasets\data\train\images\201807071145_039.png
datasets\data\train\labels\201807051401_063.txt,datasets\data\train\images\201807051401_063.png
datasets\data\train\labels\201806291421_059.txt,datasets\data\train\images\201806291421_059.png
datasets\data\train\labels\201807041314_044.txt,datasets\data\train\images\201807041314_044.png
datasets\data\train\labels\201807011333_035.txt,datasets\data\train\images\201807011333_035.png
datasets\data\train\labels\201807061249_019.txt,datasets\data\train\images\201807061249_019.png
datasets\data\train\labels\201807051301_012.txt,datasets\data\train\images\201807051301_012.png
