filename,width,height,class,xmin,xmax,ymin,ymax
201806260750_003,38,24,Boat,482,520,315,339
201806260750_004,30,32,Boat,447,477,353,385
201806260750_007,9,3,Boat,596,605,277,280
201806260750_008,10,4,Boat,541,551,279,283
201806260750_009,11,4,Boat,442,453,284,288
201806260750_010,20,9,Boat,271,291,288,297
201806260750_011,33,11,Boat,9,42,297,308
201806260750_010,12,11,Motorboat,687,699,266,277
201806260750_011,12,10,Motorboat,640,652,266,276
201806260750_005,9,9,Miscboat,983,992,271,280
201806260750_006,10,10,Miscboat,979,989,270,280
201806260750_007,11,11,Miscboat,980,991,269,280
201806260750_008,10,9,Miscboat,982,992,270,279
201806260750_009,11,10,Miscboat,982,993,269,279
201806260750_010,12,11,Miscboat,980,992,269,280
201806260750_011,9,7,Miscboat,983,992,274,281
201806260750_012,10,8,Miscboat,983,993,274,282
201806260750_013,10,8,Miscboat,983,993,276,284
201806260750_014,9,8,Miscboat,983,992,273,281
201806260750_012,138,105,Militaryship,381,519,207,312
201806260750_013,65,43,Militaryship,612,677,248,291
201806260750_014,40,27,Militaryship,706,746,256,283
201806260750_015,39,39,Militaryship,749,788,248,287
201806260750_016,26,9,Militaryship,785,811,270,279
201806260750_017,23,10,Militaryship,800,823,266,276
201806260750_018,29,12,Militaryship,807,836,265,277
201806260750_019,16,6,Militaryship,524,540,273,279
201806260750_005,23,13,Miscboat,951,974,265,278
201806260750_006,25,14,Miscboat,949,974,264,278
201806260750_007,28,15,Miscboat,948,976,263,278
201806260750_008,23,11,Miscboat,952,975,266,277
201806260750_009,25,12,Miscboat,951,976,265,277
201806260750_010,28,13,Miscboat,948,976,264,277
201806260750_011,24,13,Miscboat,953,977,267,280
201806260750_012,26,14,Miscboat,950,976,267,281
201806260750_013,29,15,Miscboat,947,976,266,281
201806260750_014,12,9,Miscboat,963,975,271,280
201806260750_015,13,10,Miscboat,962,975,271,281
201806260750_016,14,11,Miscboat,961,975,270,281
201806260750_017,15,9,Miscboat,960,975,270,279
201806260750_013,64,108,Passengership,-2,62,224,332
201806260750_014,82,60,Passengership,317,399,237,297
201806260750_015,54,43,Passengership,492,546,248,291
201806260750_016,39,31,Passengership,585,624,252,283
201806260750_017,27,19,Passengership,638,665,261,280
201806260750_018,23,22,Passengership,672,695,258,280
